,ids,titles,aggregateLikes,spoonacularScore,healthScore,pricePerServing,readyInMinutes,servings,weightWatcherSmartPoints,veryHealthy,vegetarian,vegan,glutenFree,dairyFree,whole30,calories,fat,saturated_fat,carbs,sugar,cholesterol,sodium,protein
834,798544,Berry and Avocado Spinach Salad with Feta and Pistachios in a Creamy Berry Poppy Seed Dressing,76,100.0,100.0,284.27,10,4,6,True,True,False,True,False,False,257.01,16.2,3.23,25.93,10.59,8.34,139.63,7.52
835,570458,African Potato and Cauliflower Stew,515,100.0,100.0,159.39,40,6,10,True,True,True,True,True,True,422.05,18.7,2.93,58.91,12.54,0.0,64.41,10.64
836,506277,Chicken and Vegetable Stuffed Acorn Squash,702,100.0,100.0,233.96,45,1,3,True,False,False,True,True,False,342.7,5.91,1.48,58.92,8.5,42.67,246.84,21.13
837,671892,"Tomato, Onion, Avocado Salad",8862,100.0,52.0,95.76,15,6,4,False,True,True,True,True,True,150.6,12.38,1.79,10.68,3.26,0.0,43.59,2.38
838,496890,Seared Ahi Tuna Salad,1268,100.0,100.0,489.0,14,2,5,True,False,False,True,True,False,265.23,12.77,2.21,13.78,4.57,32.32,765.92,24.91
839,248994,"Roasted Butternut Squash, Shiitake Mushroom and Kale, Kimchi Bibimsoba",885,100.0,100.0,313.15,40,4,7,True,True,True,False,True,False,354.73,6.3,0.8,69.28,4.26,0.0,497.11,14.61
840,556675,"Cleanse & Detox Smoothie: Dairy, Sugar & Gluten Free",1178,100.0,66.0,213.26,5,1,2,True,False,False,True,True,False,203.44,6.52,0.48,36.11,22.87,0.0,227.37,5.05
841,87665,Seared Salmon with Oranges and Fennel,99,100.0,99.0,435.5,15,4,5,True,False,False,True,True,True,325.54,14.32,2.13,13.89,6.18,93.55,431.16,35.22
842,583949,"Raspberry, Walnut & Avocado Kale Salad",1191,100.0,94.0,214.08,10,4,10,True,True,True,True,True,False,398.37,30.28,3.69,27.17,13.21,0.0,192.84,10.07
843,482389,Slow Cooked Lebanese Green Beans and Beef,2628,100.0,87.0,222.31,495,4,3,True,False,False,True,True,True,252.65,6.42,2.07,21.3,10.9,70.31,957.15,29.79
844,578398,15 minute mushroom stroganoff,20331,100.0,54.0,266.09,15,2,6,True,True,False,True,False,False,212.46,11.9,2.79,21.62,11.37,9.36,138.04,10.19
845,495086,Sage Polenta Bowls with Roasted Brussels Sprouts & Wild Mushrooms,23701,100.0,72.0,178.59,30,4,8,True,False,False,True,False,False,339.03,12.8,4.21,43.46,3.46,12.75,537.01,14.94
846,178235,Spa Refreshers,43,100.0,100.0,85.38,8,2,1,True,True,True,True,True,True,118.52,0.9,0.1,28.8,10.65,0.0,62.49,5.77
847,615768,Low Carb Cauliflower Tabbouleh – 4 Points,75,100.0,100.0,284.2,15,6,3,True,True,True,True,True,True,163.99,9.98,1.4,16.64,7.74,0.0,260.72,5.41
848,811779,Black bean enchiladas with avocado sauce,5466,100.0,86.0,408.68,45,2,25,True,True,False,False,False,False,842.5,56.4,17.49,66.94,19.7,58.74,1150.55,24.37
849,507045,10-Minute Healthy Bok Choy Salad with Creamy Tahini Dressing,453,100.0,68.0,102.2,10,8,4,True,True,False,True,True,False,141.74,8.02,1.11,16.01,12.11,0.0,644.9,4.76
850,814279,Grilled Salmon with Grilled Peach and Avocado Salsa,1380,100.0,98.0,453.76,35,3,8,True,False,False,True,True,True,376.67,19.71,2.94,19.31,10.41,83.16,266.51,32.65
851,601141,Berry Green Smoothie,57,100.0,100.0,159.67,5,2,2,True,True,False,False,False,False,255.32,3.8,1.46,59.01,30.65,6.1,80.36,6.36
852,556374,"Pasta with tuna, parsley, basil and capers",71,100.0,100.0,256.75,15,2,14,True,False,False,False,True,False,522.5,17.48,2.54,73.29,7.23,18.0,291.46,25.63
853,523177,Single-Serving Chocolate Peanut Butter Microwave Cake,615,100.0,68.0,137.18,10,1,9,True,False,False,True,True,False,308.96,13.88,2.3,40.6,6.34,0.0,414.6,24.84
854,446312,stuffed acorn squash,881,100.0,97.0,241.91,45,4,13,True,True,False,True,False,False,548.16,23.03,6.79,71.63,13.89,20.4,699.4,19.8
855,615610,My Favorite Autumn Salad,1613,100.0,93.0,286.67,10,6,10,True,True,False,True,True,False,481.87,30.86,3.64,53.58,28.45,0.0,119.81,6.74
856,494995,Kale-Ginger Detox Smoothie,11585,100.0,55.0,225.73,2,1,5,True,False,False,True,True,False,352.56,8.6,0.68,67.9,33.62,0.0,380.87,10.93
857,615214,Butternut Squash Burrito Bowls,911,100.0,96.0,214.99,45,4,14,True,False,False,True,False,False,583.49,26.05,4.08,79.71,8.19,2.06,1051.42,16.55
858,519991,"Roasted Cinnamon-Ginger Delicata Squash (vegan, glutuen-free)",719,100.0,97.0,176.9,35,1,1,True,False,False,True,True,False,182.12,0.72,0.18,46.29,14.09,0.0,212.81,4.61
859,666936,Lentil and Beet Salad with Lavender-Mustard Vinaigrette,694,100.0,91.0,96.9,45,6,8,True,True,False,True,True,False,312.48,1.08,0.15,59.6,19.82,0.0,258.26,17.6
860,564087,"Spring Zucchini Pasta with Peas, Leeks & Watercress",661,100.0,97.0,171.88,20,1,3,True,False,False,True,False,False,196.46,8.66,1.46,27.74,13.33,0.68,252.7,7.62
861,602576,White Beans and Cabbage,256,100.0,68.0,50.37,15,4,6,True,True,True,True,True,False,234.39,7.44,1.09,33.92,2.71,0.0,215.39,10.01
